mean 100 episode reward,episodes,steps,% time spent exploring
-117.1,407,10363,9
-117.0,408,10390,9
-112.0,409,10401,9
-112.5,410,10424,9
-110.8,411,10440,9
-110.0,412,10460,9
-110.0,413,10472,9
-112.3,414,10522,9
-112.4,415,10535,9
-112.7,416,10553,9
-113.1,417,10574,9
-112.3,418,10598,9
-113.3,419,10637,9
-113.9,420,10666,9
-114.0,421,10681,9
-115.0,422,10713,9
-115.2,423,10733,9
-115.1,424,10744,9
-114.0,425,10756,9
-114.7,426,10784,9
-115.7,427,10815,9
-116.0,428,10839,9
-115.9,429,10852,9
-115.4,430,10864,9
-115.7,431,10886,9
-120.4,432,10986,9
-120.5,433,11000,9
-121.5,434,11039,9
-121.4,435,11052,9
-121.6,436,11068,9
-124.0,437,11133,9
-125.4,438,11182,9
-128.2,439,11249,9
-128.7,440,11277,9
-129.0,441,11297,9
-129.0,442,11313,9
-131.0,443,11365,9
-131.3,444,11384,9
-135.1,445,11484,9
-134.9,446,11497,9
-133.6,447,11506,9
-135.2,448,11553,9
-134.6,449,11565,9
-134.4,450,11577,9
-134.1,451,11597,9
-134.9,452,11632,9
-134.4,453,11646,9
-134.0,454,11657,9
-134.2,455,11682,9
-133.7,456,11694,9
-133.5,457,11704,9
-134.0,458,11727,9
-134.8,459,11756,9
-134.7,460,11768,9
-134.5,461,11779,9
-133.0,462,11798,9
-131.4,463,11816,9
-135.2,464,11897,9
-134.4,465,11926,9
-134.9,466,11956,9
-135.7,467,11991,9
-136.2,468,12013,9
-135.9,469,12023,9
-137.6,470,12073,9
-136.0,471,12082,9
-135.3,472,12092,9
-134.8,473,12104,9
-138.5,474,12194,9
-139.4,475,12226,9
-141.8,476,12291,9
-146.1,477,12388,9
-146.5,478,12413,9
-145.5,479,12424,9
-146.0,480,12454,9
-150.2,481,12554,9
-151.0,482,12581,9
-150.1,483,12601,9
-151.1,484,12638,9
-150.0,485,12648,9
-150.8,486,12676,9
-151.1,487,12744,9
-151.1,488,12756,9
-152.8,489,12807,9
-152.8,490,12828,9
-153.0,491,12848,9
-152.6,492,12858,9
-154.8,493,12917,9
-154.5,494,12928,9
-154.7,495,12947,9
-155.1,496,12965,9
-158.9,497,13057,9
-160.1,498,13106,9
-159.9,499,13131,9
-159.9,500,13157,9
-161.8,501,13217,9
-162.2,502,13243,9
-162.1,503,13254,9
-162.7,504,13282,9
-158.3,505,13310,9
-158.3,506,13323,9
-158.0,507,13336,9
-157.8,508,13361,9
-157.7,509,13371,9
-157.7,510,13397,9
-157.5,511,13411,9
-157.0,512,13424,9
-157.7,513,13449,9
-155.7,514,13468,9
-156.0,515,13487,9
-156.3,516,13514,9
-156.4,517,13537,9
-159.7,518,13613,9
-158.4,519,13625,9
-159.1,520,13668,9
-158.8,521,13679,9
-157.8,522,13698,9
-159.4,523,13748,9
-163.3,524,13838,9
-167.7,525,13936,9
-167.2,526,13956,9
-169.5,527,14039,9
-170.5,528,14082,9
-170.7,529,14101,9
-171.3,530,14126,9
-170.9,531,14143,9
-166.3,532,14156,9
-166.4,533,14173,9
-165.3,534,14192,9
-167.2,535,14238,9
-167.1,536,14257,9
-165.1,537,14283,9
-163.6,538,14303,9
-162.6,539,14349,9
-163.4,540,14392,9
-163.4,541,14416,9
-163.6,542,14437,9
-162.8,543,14471,8
-162.8,544,14492,8
-158.8,545,14514,8
-159.5,546,14541,8
-160.5,547,14570,8
-159.1,548,14595,8
-164.0,549,14679,8
-164.2,550,14694,8
-164.2,551,14713,8
-163.5,552,14735,8
-163.6,553,14752,8
-164.3,554,14776,8
-164.7,555,14806,8
-165.0,556,14826,8
-165.7,557,14852,8
-165.3,558,14870,8
-164.7,559,14889,8
-164.9,560,14906,8
-165.3,561,14927,8
-165.1,562,14943,8
-165.1,563,14963,8
-161.5,564,14979,8
-160.8,565,14995,8
-161.0,566,15024,8
-160.6,567,15052,8
-160.4,568,15071,8
-160.7,569,15089,8
-159.2,570,15110,8
-159.7,571,15129,8
-160.3,572,15153,8
-160.6,573,15172,8
-156.8,574,15191,8
-156.2,575,15214,8
-153.6,576,15229,8
-149.4,577,15246,8
-149.3,578,15267,8
-149.8,579,15287,8
-149.1,580,15304,8
-145.4,581,15334,8
-145.3,582,15365,8
-145.2,583,15381,8
-144.0,584,15397,8
-144.4,585,15416,8
-143.8,586,15434,8
-141.3,587,15452,8
-141.6,588,15469,8
-140.5,589,15504,8
-140.3,590,15522,8
-140.3,591,15542,8
-140.7,592,15563,8
-138.6,593,15578,8
-138.8,594,15593,8
-138.9,595,15611,8
-138.8,596,15629,8
-135.3,597,15654,8
-133.6,598,15670,8
-133.3,599,15691,8
-133.3,600,15719,8
-131.2,601,15738,8
-130.7,602,15755,8
-131.3,603,15781,8
-130.8,604,15800,8
-130.3,605,15817,8
-131.0,606,15842,8
-131.2,607,15860,8
-131.2,608,15883,8
-131.5,609,15900,8
-131.5,610,15929,8
-131.5,611,15944,8
-131.6,612,15960,8
-131.2,613,15977,8
-131.2,614,15997,8
-132.2,615,16028,8
-132.0,616,16053,8
-132.0,617,16076,8
-128.0,618,16092,8
-128.3,619,16109,8
-127.4,620,16140,8
-127.9,621,16159,8
-127.9,622,16175,8
-126.5,623,16199,8
-122.8,624,16216,8
-118.8,625,16236,8
-118.9,626,16260,8
-115.5,627,16278,8
-114.8,628,16309,8
-115.1,629,16340,8
-114.6,630,16353,8
-114.9,631,16375,8
-115.2,632,16394,8
-115.2,633,16413,8
-115.1,634,16431,8
-113.5,635,16452,8
-113.7,636,16473,8
-113.7,637,16502,8
-114.2,638,16529,8
-112.9,639,16549,8
-113.2,640,16591,8
-113.0,641,16609,8
-112.7,642,16623,8
-112.3,643,16652,8
-112.1,644,16671,8
-112.1,645,16691,8
-111.9,646,16713,8
-111.4,647,16733,8
-111.0,648,16748,8
-106.3,649,16767,8
-106.8,650,16792,8
-106.4,651,16803,8
-106.6,652,16830,8
-106.4,653,16845,8
-106.3,654,16869,8
-105.8,655,16892,8
-105.9,656,16914,8
-105.8,657,16934,8
-106.1,658,16955,8
-106.1,659,16973,8
-106.4,660,16993,8
-106.6,661,17016,8
-106.9,662,17036,8
-107.2,663,17060,8
-107.1,664,17075,8
-107.6,665,17106,8
-106.7,666,17121,8
-106.5,667,17143,8
-107.0,668,17172,8
-109.4,669,17231,8
-109.3,670,17249,8
-109.4,671,17267,8
-109.3,672,17288,8
-109.7,673,17314,8
-110.0,674,17335,8
-109.7,675,17348,8
-112.0,676,17406,8
-112.5,677,17431,8
-112.3,678,17447,8
-112.1,679,17464,8
-112.0,680,17475,8
-111.3,681,17489,8
-111.3,682,17513,8
-111.2,683,17528,8
-111.2,684,17542,8
-111.0,685,17557,8
-110.8,686,17567,8
-110.9,687,17584,8
-111.2,688,17607,8
-111.2,689,17638,8
-111.1,690,17654,8
-111.1,691,17674,8
-111.6,692,17699,8
-111.7,693,17715,8
-112.2,694,17742,8
-112.3,695,17764,8
-112.6,696,17787,8
-112.3,697,17809,8
-112.4,698,17827,8
-112.8,699,17855,8
-112.1,700,17868,8
-112.2,701,17888,8
-112.3,702,17907,8
-113.0,703,17944,8
-113.1,704,17965,8
-113.2,705,17983,8
-112.5,706,17995,8
-112.8,707,18020,8
-112.7,708,18045,8
-113.4,709,18072,8
-113.1,710,18093,8
-113.1,711,18105,8
-112.8,712,18115,8
-113.6,713,18149,8
-114.0,714,18175,8
-113.1,715,18198,8
-112.9,716,18218,8
-113.3,717,18244,8
-113.7,718,18268,8
-113.3,719,18279,8
-113.4,720,18305,8
-113.6,721,18333,8
-115.0,722,18377,8
-114.7,723,18397,8
-115.0,724,18419,8
-115.1,725,18439,8
-115.3,726,18468,8
-115.5,727,18488,8
-115.8,728,18519,8
-115.0,729,18529,8
-115.4,730,18553,8
-115.8,731,18581,8
-115.9,732,18601,8
-115.5,733,18611,8
-115.4,734,18625,8
-115.2,735,18639,8
-114.9,736,18651,8
-114.5,737,18670,8
-113.7,738,18686,8
-113.7,739,18710,8
-112.1,740,18724,8
-111.7,741,18735,8
-111.8,742,18748,8
-111.3,743,18765,8
-111.2,744,18781,8
-111.5,745,18805,8
-110.9,746,18816,8
-110.6,747,18828,8
-110.6,748,18843,8
-110.5,749,18856,8
-110.1,750,18876,8
-110.2,751,18889,7
-109.7,752,18903,7
-109.4,753,18912,7
-109.2,754,18927,7
-109.4,755,18955,7
-109.0,756,18969,7
-108.9,757,18989,7
-108.3,758,18999,7
-108.1,759,19012,7
-107.6,760,19022,7
-107.1,761,19036,7
-106.7,762,19049,7
-106.1,763,19060,7
-106.4,764,19081,7
-105.9,765,19095,7
-105.9,766,19110,7
-105.5,767,19124,7
-104.6,768,19133,7
-102.0,769,19145,7
-101.8,770,19157,7
-101.3,771,19168,7
-100.7,772,19176,7
-100.3,773,19195,7
-100.4,774,19221,7
-100.2,775,19232,7
-99.1,776,19265,7
-99.7,777,19298,7
-99.9,778,19319,7
-100.4,779,19346,7
-101.0,780,19369,7
-103.1,781,19420,7
-104.3,782,19464,7
-104.8,783,19486,7
-106.8,784,19534,7
-106.7,785,19548,7
-107.3,786,19569,7
-108.3,787,19604,7
-108.6,788,19633,7
-108.4,789,19657,7
-109.2,790,19684,7
-109.1,791,19703,7
-109.6,792,19738,7
-109.4,793,19752,7
-110.7,794,19797,7
-112.9,795,19853,7
-113.8,796,19890,7
-115.0,797,19929,7
-114.7,798,19941,7
-115.5,799,19977,7
-116.3,800,20004,7
-116.0,801,20018,7
-117.4,802,20059,7
-117.8,803,20095,7
-118.8,804,20133,7
-120.7,805,20184,7
-121.2,806,20205,7
-123.3,807,20263,7
-124.4,808,20304,7
-124.7,809,20336,7
-126.0,810,20376,7
-125.9,811,20386,7
-126.0,812,20398,7
-127.9,813,20459,7
-128.5,814,20491,7
-129.6,815,20529,7
-132.0,816,20588,7
-131.5,817,20607,7
-131.9,818,20634,7
-131.9,819,20645,7
-132.9,820,20687,7
-132.1,821,20697,7
-133.3,822,20756,7
-132.8,823,20765,7
-132.3,824,20777,7
-134.5,825,20830,7
-134.2,826,20850,7
-133.7,827,20862,7
-132.6,828,20873,7
-136.0,829,20940,7
-135.8,830,20960,7
-136.4,831,20993,7
-141.3,832,21090,7
-143.2,833,21130,7
-143.1,834,21142,7
-145.0,835,21190,7
-146.3,836,21223,7
-146.5,837,21244,7
-148.5,838,21291,7
-148.2,839,21307,7
-148.4,840,21326,7
-151.0,841,21381,7
-150.8,842,21392,7
-151.1,843,21413,7
-150.9,844,21427,7
-152.4,845,21473,7
-153.3,846,21502,7
-154.9,847,21542,7
-154.6,848,21553,7
-154.5,849,21565,7
-154.9,850,21588,7
-156.7,851,21634,7
-157.6,852,21664,7
-157.9,853,21678,7
-157.8,854,21691,7
-157.0,855,21701,7
-156.8,856,21710,7
-156.5,857,21722,7
-156.4,858,21730,7
-156.3,859,21742,7
-156.5,860,21755,7
-156.8,861,21773,7
-156.6,862,21782,7
-156.5,863,21792,7
-156.2,864,21804,7
-156.1,865,21817,7
-155.9,866,21827,7
-155.5,867,21834,7
-155.7,868,21847,7
-155.7,869,21860,7
-155.8,870,21874,7
-155.8,871,21885,7
-155.9,872,21894,7
-155.4,873,21902,7
-154.8,874,21912,7
-154.9,875,21924,7
-153.6,876,21934,7
-152.3,877,21945,7
-151.7,878,21954,7
-151.0,879,21966,7
-150.5,880,21979,7
-148.1,881,21987,7
-146.1,882,21995,7
-145.4,883,22006,7
-143.2,884,22016,7
-142.9,885,22024,7
-142.2,886,22031,7
-140.7,887,22040,7
-139.9,888,22053,7
-139.1,889,22061,7
-138.3,890,22074,7
-138.0,891,22088,7
-136.5,892,22096,7
-136.2,893,22103,7
-134.2,894,22113,7
-131.3,895,22120,7
-129.9,896,22131,7
-128.4,897,22144,7
-128.4,898,22155,7
-126.8,899,22163,7
-126.1,900,22177,7
-126.1,901,22190,7
-124.4,902,22202,7
-123.0,903,22216,7
-121.2,904,22223,7
-119.0,905,22235,7
-118.6,906,22246,7
-116.0,907,22260,7
-114.1,908,22267,7
-113.0,909,22280,7
-111.2,910,22288,7
-111.6,911,22305,7
-111.6,912,22316,7
-108.7,913,22328,7
-107.6,914,22343,7
-106.0,915,22352,7
-103.2,916,22364,7
-102.9,917,22377,7
-102.2,918,22390,7
-107.2,919,22490,7
-108.1,920,22551,7
-108.6,921,22572,7
-105.8,922,22584,7
-107.0,923,22617,7
-106.9,924,22627,7
-104.8,925,22648,7
-107.7,926,22719,7
-108.7,927,22750,7
-109.2,928,22771,7
-110.8,929,22871,7
-112.1,930,22916,7
-110.6,931,22927,7
-109.9,932,23012,7
-108.0,933,23023,7
-108.9,934,23053,7
-108.1,935,23091,7
-106.9,936,23105,7
-108.3,937,23153,7
-107.6,938,23195,7
-109.0,939,23238,7
-108.6,940,23249,7
-106.6,941,23272,7
-109.4,942,23334,6
-114.1,943,23434,6
-114.5,944,23457,6
-114.2,945,23500,6
-113.4,946,23514,6
-112.6,947,23541,6
-114.0,948,23580,6
-114.4,949,23600,6
-113.8,950,23611,6
-116.4,951,23706,6
-115.4,952,23719,6
-116.1,953,23748,6
-116.6,954,23772,6
-116.7,955,23784,6
-117.2,956,23802,6
-117.2,957,23814,6
-117.6,958,23831,6
-117.6,959,23842,6
-117.5,960,23853,6
-117.2,961,23865,6
-117.2,962,23875,6
-117.3,963,23887,6
-117.5,964,23902,6
-117.6,965,23917,6
-117.7,966,23930,6
-118.0,967,23942,6
-117.7,968,23950,6
-117.5,969,23960,6
-117.4,970,23970,6
-117.5,971,23983,6
-117.5,972,23992,6
-117.6,973,24002,6
-117.5,974,24012,6
-117.4,975,24022,6
-117.6,976,24035,6
-117.8,977,24051,6
-118.0,978,24064,6
-118.1,979,24078,6
-118.2,980,24092,6
-118.3,981,24102,6
-118.5,982,24115,6
-118.6,983,24128,6
-118.8,984,24142,6
-119.0,985,24153,6
-119.3,986,24165,6
-119.4,987,24176,6
-119.3,988,24188,6
-119.5,989,24199,6
-119.7,990,24215,6
-119.5,991,24225,6
-119.7,992,24237,6
-119.9,993,24248,6
-119.8,994,24257,6
-120.1,995,24268,6
-120.0,996,24279,6
-120.0,997,24291,6
-120.0,998,24303,6
-120.0,999,24311,6
-120.1,1000,24326,6
-120.0,1001,24337,6
-119.8,1002,24346,6
-119.5,1003,24355,6
-119.8,1004,24367,6
-119.5,1005,24374,6
-119.3,1006,24381,6
-119.1,1007,24391,6
-119.2,1008,24400,6
-119.3,1009,24414,6
-119.5,1010,24426,6
-119.0,1011,24435,6
-119.0,1012,24445,6
-118.7,1013,24452,6
-118.8,1014,24468,6
-118.6,1015,24474,6
-118.7,1016,24487,6
-118.6,1017,24499,6
-118.5,1018,24510,6
-113.6,1019,24523,6
-111.2,1020,24537,6
-110.9,1021,24551,6
-110.8,1022,24559,6
-109.7,1023,24569,6
-109.9,1024,24583,6
-109.6,1025,24597,6
-106.4,1026,24610,6
-105.6,1027,24624,6
-105.3,1028,24637,6
-100.1,1029,24644,6
-98.4,1030,24654,6
-98.3,1031,24663,6
-93.6,1032,24674,6
-93.8,1033,24688,6
-92.9,1034,24699,6
-91.6,1035,24711,6
-91.3,1036,24719,6
-89.5,1037,24731,6
-88.2,1038,24746,6
-86.5,1039,24754,6
-86.5,1040,24764,6
-86.0,1041,24776,6
-83.4,1042,24789,6
-78.4,1043,24805,6
-77.8,1044,24815,6
-76.1,1045,24827,6
-78.1,1046,24870,6
-77.2,1047,24881,6
-76.9,1048,24914,6
-78.0,1049,24957,6
-78.8,1050,24983,6
-75.6,1051,25023,6
-75.5,1052,25033,6
-75.8,1053,25068,6
-75.5,1054,25087,6
-76.2,1055,25114,6
-80.1,1056,25211,6
-84.5,1057,25311,6
-84.5,1058,25329,6
-85.4,1059,25358,6
-87.3,1060,25409,6
-88.1,1061,25437,6
-88.9,1062,25465,6
-89.5,1063,25489,6
-89.6,1064,25508,6
-89.7,1065,25526,6
-94.0,1066,25626,6
-94.4,1067,25646,6
-94.9,1068,25665,6
-94.9,1069,25675,6
-94.8,1070,25686,6
-94.8,1071,25699,6
-94.9,1072,25710,6
-99.4,1073,25810,6
-100.9,1074,25852,6
-100.9,1075,25861,6
-101.5,1076,25888,6
-101.9,1077,25913,6
-102.2,1078,25933,6
-103.3,1079,25970,6
-103.0,1080,25980,6
-105.4,1081,26038,6
-106.9,1082,26081,6
-106.8,1083,26093,6
-108.2,1084,26135,6
-110.6,1085,26195,6
-110.5,1086,26206,6
-110.6,1087,26221,6
-112.5,1088,26265,6
-112.5,1089,26276,6
-113.5,1090,26310,6
-114.8,1091,26344,6
-118.2,1092,26412,6
-119.0,1093,26438,6
-119.7,1094,26460,6
-120.7,1095,26492,6
-121.5,1096,26520,6
-124.3,1097,26577,6
-127.2,1098,26638,6
-129.3,1099,26680,6
-130.2,1100,26710,6
-132.3,1101,26757,6
-133.1,1102,26782,6
-133.2,1103,26795,6
-133.6,1104,26816,6
-139.1,1105,26916,6
-139.9,1106,26938,6
-141.2,1107,26974,6
-142.1,1108,27002,6
-143.2,1109,27039,6
-143.6,1110,27060,6
-144.0,1111,27078,6
-143.9,1112,27088,6
-148.4,1113,27184,6
-150.2,1114,27237,6
-151.2,1115,27263,6
-155.1,1116,27355,6
-155.4,1117,27373,6
-157.3,1118,27423,6
-161.6,1119,27523,6
-161.8,1120,27541,6
-161.6,1121,27552,6
-162.6,1122,27582,6
-163.5,1123,27610,6
-164.0,1124,27635,6
-163.8,1125,27646,6
-164.6,1126,27677,6
-165.2,1127,27705,6
-165.0,1128,27715,6
-165.7,1129,27736,6
-165.7,1130,27747,6
-167.1,1131,27783,5
-169.0,1132,27833,5
-172.4,1133,27909,5
-174.1,1134,27950,5
-176.3,1135,28002,5
-177.9,1136,28038,5
-179.0,1137,28070,5
-180.1,1138,28104,5
-180.4,1139,28118,5
-180.5,1140,28131,5
-182.7,1141,28182,5
-184.4,1142,28223,5
-185.2,1143,28254,5
-185.4,1144,28267,5
-185.4,1145,28281,5
-184.3,1146,28310,5
-184.3,1147,28322,5
-185.4,1148,28369,5
-186.2,1149,28420,5
-185.6,1150,28433,5
-187.0,1151,28494,5
-190.0,1152,28554,5
-189.3,1153,28575,5
