mean 100 episode reward,episodes,steps,% time spent exploring
-392.1,2,65,99
-331.9,3,113,98
-308.5,4,157,98
-252.6,5,172,98
-233.1,6,199,98
-238.6,7,244,97
-228.0,8,274,97
-221.6,9,308,97
-216.4,10,337,96
-212.1,11,369,96
-219.6,12,420,96
-216.4,13,454,95
-204.7,14,465,95
-210.4,15,520,95
-205.3,16,543,95
-196.2,17,554,95
-189.1,18,568,94
-182.4,19,581,94
-181.7,20,612,94
-187.9,21,664,94
-187.4,22,699,93
-183.4,23,718,93
-179.1,24,734,93
-177.6,25,759,93
-177.3,26,789,92
-173.2,27,802,92
-174.3,28,837,92
-176.5,29,881,92
-176.6,30,914,91
-173.9,31,932,91
-190.6,32,1032,90
-199.8,33,1113,89
-197.7,34,1135,89
-194.1,35,1149,89
-194.1,36,1181,89
-191.7,37,1201,89
-192.3,38,1235,88
-190.8,39,1260,88
-193.0,40,1314,88
-189.8,41,1326,88
-190.6,42,1368,87
-188.2,43,1385,87
-186.8,44,1409,87
-196.7,45,1507,86
-200.1,46,1557,85
-197.4,47,1571,85
-195.5,48,1592,85
-194.4,49,1620,85
-194.3,50,1654,85
-193.3,51,1679,84
-194.5,52,1721,84
-192.6,53,1739,84
-191.1,54,1761,84
-195.9,55,1839,83
-197.0,56,1884,83
-196.6,57,1919,82
-194.3,58,1931,82
-191.9,59,1941,82
-189.8,60,1953,82
-191.3,61,1998,82
-189.1,62,2008,81
-187.8,63,2029,81
-187.3,64,2058,81
-186.1,65,2078,81
-184.6,66,2096,81
-182.5,67,2104,81
-182.9,68,2143,80
-181.8,69,2163,80
-180.4,70,2179,80
-180.3,71,2213,80
-179.3,72,2233,79
-179.6,73,2265,79
-184.0,74,2350,78
-184.3,75,2380,78
-185.8,76,2433,78
-185.9,77,2468,77
-185.7,78,2497,77
-183.9,79,2505,77
-183.1,80,2527,77
-182.3,81,2548,77
-181.4,82,2567,76
-181.1,83,2597,76
-181.5,84,2635,76
-183.1,85,2688,75
-182.3,86,2710,75
-181.4,87,2729,75
-180.2,88,2742,75
-179.3,89,2761,75
-179.4,90,2792,74
-177.9,91,2800,74
-178.1,92,2832,74
-177.4,93,2853,74
-178.2,94,2900,73
-176.9,95,2909,73
-175.5,96,2917,73
-174.5,97,2933,73
-174.2,98,2958,73
-174.3,99,2991,73
-173.2,100,3003,72
-172.0,101,3012,72
-168.9,102,3028,72
-167.7,103,3054,72
-168.4,104,3111,72
-170.5,105,3162,71
-171.9,106,3211,71
-172.2,107,3257,70
-177.2,108,3357,69
-177.8,109,3398,69
-176.6,110,3407,69
-176.5,111,3431,69
-175.0,112,3458,68
-174.0,113,3472,68
-176.0,114,3517,68
-174.6,115,3543,68
-177.4,116,3621,67
-180.4,117,3685,66
-183.0,118,3739,66
-185.2,119,3791,65
-184.5,120,3808,65
-182.9,121,3833,65
-182.7,122,3862,65
-182.5,123,3878,65
-184.0,124,3920,64
-183.8,125,3944,64
-185.2,126,4001,63
-185.3,127,4015,63
-183.9,128,4027,63
-182.9,129,4052,63
-182.2,130,4073,63
-183.7,131,4116,62
-180.2,132,4178,62
-176.4,133,4198,62
-175.8,134,4211,62
-177.9,135,4261,61
-176.4,136,4269,61
-176.3,137,4287,61
-178.0,138,4357,60
-177.3,139,4369,60
-175.4,140,4385,60
-176.0,141,4407,60
-175.7,142,4440,60
-176.6,143,4474,59
-175.8,144,4482,59
-170.8,145,4502,59
-169.7,146,4544,59
-170.1,147,4563,58
-169.5,148,4572,58
-168.7,149,4584,58
-168.0,150,4606,58
-167.6,151,4624,58
-166.0,152,4641,58
-166.4,153,4665,58
-165.8,154,4674,57
-162.5,155,4696,57
-161.0,156,4717,57
-160.5,157,4740,57
-160.8,158,4758,57
-161.2,159,4773,57
-161.1,160,4784,56
-159.5,161,4806,56
-159.8,162,4819,56
-159.9,163,4842,56
-159.6,164,4862,56
-159.5,165,4880,56
-159.6,166,4898,55
-159.9,167,4911,55
-159.5,168,4940,55
-159.2,169,4953,55
-159.3,170,4970,55
-158.1,171,4979,55
-157.8,172,4992,55
-156.6,173,5005,54
-152.0,174,5013,54
-150.9,175,5030,54
-149.1,176,5050,54
-148.3,177,5070,54
-147.7,178,5090,54
-148.4,179,5109,54
-148.1,180,5124,53
-147.8,181,5142,53
-148.2,182,5168,53
-147.9,183,5188,53
-146.8,184,5205,53
-145.3,185,5236,52
-145.2,186,5255,52
-144.9,187,5268,52
-145.2,188,5284,52
-145.3,189,5305,52
-144.4,190,5322,52
-145.0,191,5340,51
-144.8,192,5371,51
-145.0,193,5395,51
-143.5,194,5413,51
-143.9,195,5430,51
-144.2,196,5443,51
-144.5,197,5463,50
-143.9,198,5476,50
-143.2,199,5497,50
-144.2,200,5526,50
-144.9,201,5546,50
-146.0,202,5585,49
-146.7,203,5629,49
-143.9,204,5639,49
-142.0,205,5657,49
-140.2,206,5679,48
-138.4,207,5701,48
-133.1,208,5725,48
-131.8,209,5743,48
-132.1,210,5756,48
-131.3,211,5770,48
-131.4,212,5800,47
-132.1,213,5826,47
-130.5,214,5845,47
-130.5,215,5871,47
-127.3,216,5888,47
-125.2,217,5913,46
-123.2,218,5938,46
-121.3,219,5957,46
-121.6,220,5982,46
-121.2,221,5999,46
-121.6,222,6037,45
-122.7,223,6071,45
-122.2,224,6106,45
-122.4,225,6135,44
-120.7,226,6162,44
-121.0,227,6182,44
-121.1,228,6195,44
-121.2,229,6221,44
-120.5,230,6229,43
-119.6,231,6257,43
-117.9,232,6290,43
-118.3,233,6318,43
-118.9,234,6343,42
-116.9,235,6359,42
-117.0,236,6370,42
-117.5,237,6397,42
-115.6,238,6433,42
-116.4,239,6461,41
-116.7,240,6485,41
-117.0,241,6514,41
-116.6,242,6544,41
-116.0,243,6568,40
-116.6,244,6588,40
-116.7,245,6612,40
-115.8,246,6638,40
-116.1,247,6665,40
-117.1,248,6694,39
-117.7,249,6717,39
-117.4,250,6733,39
-118.5,251,6772,39
-118.9,252,6798,38
-118.8,253,6822,38
-119.1,254,6837,38
-118.8,255,6856,38
-119.1,256,6882,38
-119.2,257,6906,37
-120.0,258,6943,37
-120.2,259,6962,37
-121.6,260,7000,37
-121.9,261,7031,36
-122.3,262,7053,36
-122.1,263,7072,36
-122.4,264,7097,36
-122.6,265,7120,35
-123.0,266,7145,35
-124.3,267,7179,35
-123.3,268,7191,35
-123.1,269,7202,35
-124.5,270,7247,34
-125.9,271,7280,34
-127.0,272,7310,34
-130.7,273,7387,33
-131.4,274,7413,33
-132.9,275,7458,32
-132.4,276,7471,32
-132.6,277,7495,32
-132.8,278,7519,32
-132.3,279,7530,32
-132.3,280,7545,32
-132.2,281,7562,31
-132.2,282,7587,31
-133.4,283,7627,31
-136.1,284,7689,30
-135.0,285,7701,30
-135.6,286,7731,30
-138.0,287,7785,29
-138.1,288,7806,29
-138.3,289,7832,29
-138.1,290,7845,29
-137.9,291,7861,29
-136.9,292,7875,29
-136.4,293,7889,28
-140.3,294,7975,28
-140.4,295,7993,28
-143.5,296,8057,27
-143.7,297,8083,27
-143.8,298,8098,27
-143.2,299,8109,27
-143.5,300,8144,26
-143.2,301,8159,26
-143.2,302,8192,26
-141.7,303,8204,26
-142.0,304,8221,26
-144.1,305,8276,25
-143.8,306,8292,25
-143.4,307,8305,25
-143.6,308,8333,25
-148.2,309,8426,24
-148.2,310,8441,24
-150.0,311,8488,23
-150.4,312,8523,23
-149.6,313,8534,23
-149.2,314,8545,23
-148.4,315,8556,22
-148.1,316,8568,22
-147.3,317,8581,22
-148.2,318,8620,22
-148.1,319,8638,22
-147.8,320,8654,22
-147.6,321,8668,21
-146.5,322,8684,21
-145.5,323,8699,21
-144.3,324,8710,21
-144.6,325,8741,21
-143.9,326,8754,21
-143.9,327,8773,21
-144.1,328,8790,20
-143.5,329,8804,20
-144.3,330,8824,20
-143.7,331,8841,20
-142.7,332,8852,20
-142.0,333,8865,20
-141.7,334,8883,20
-141.6,335,8898,19
-141.8,336,8912,19
-141.3,337,8928,19
-140.6,338,8949,19
-139.8,339,8960,19
-139.5,340,8975,19
-138.8,341,8989,19
-138.0,342,9004,18
-137.5,343,9016,18
-137.2,344,9028,18
-137.2,345,9051,18
-136.6,346,9068,18
-136.9,347,9098,18
-136.4,348,9116,17
-136.4,349,9138,17
-136.3,350,9153,17
-135.6,351,9177,17
-135.3,352,9195,17
-135.4,353,9218,17
-135.6,354,9236,16
-135.6,355,9255,16
-135.4,356,9276,16
-134.9,357,9290,16
-133.8,358,9302,16
-133.5,359,9315,16
-132.2,360,9328,16
-131.5,361,9343,15
-132.9,362,9386,15
-134.4,363,9434,15
-133.6,364,9446,14
-134.5,365,9484,14
-134.2,366,9504,14
-133.2,367,9521,14
-133.2,368,9532,14
-133.4,369,9547,14
-132.0,370,9564,13
-132.0,371,9603,13
-131.5,372,9625,13
-128.2,373,9647,13
-127.9,374,9664,13
-126.3,375,9677,12
-126.5,376,9693,12
-125.9,377,9705,12
-125.5,378,9722,12
-126.5,379,9750,12
-126.6,380,9767,12
-126.6,381,9783,11
-125.8,382,9795,11
-125.3,383,9831,11
-122.5,384,9848,11
-123.5,385,9875,11
-122.6,386,9887,11
-122.6,387,9948,10
-122.2,388,9960,10
-121.7,389,9976,10
-122.0,390,9993,10
-122.0,391,10007,9
-122.1,392,10023,9
-122.3,393,10039,9
-118.1,394,10054,9
-117.9,395,10067,9
-114.7,396,10079,9
-114.2,397,10094,9
-114.7,398,10120,9
-115.6,399,10145,9
-115.0,400,10173,9
-115.2,401,10190,9
-114.4,402,10210,9
-114.4,403,10222,9
-114.4,404,10238,9
-117.0,405,10334,9
-116.8,406,10345,9
