mean 100 episode reward,Success rate,% time spent exploring,Collision rate,episodes,steps
-63.5,0.0,99,0.0,2,44
-41.5,0.0,99,0.5,3,55
-39.1,0.0,99,0.3333333333333333,4,90
-37.5,0.0,98,0.5,5,124
-33.5,0.0,98,0.6,6,140
-33.9,0.0,98,0.5,7,198
-32.9,0.0,97,0.42857142857142855,8,230
-31.9,0.0,97,0.375,9,245
-33.0,0.0,97,0.3333333333333333,10,273
-37.5,0.0,96,0.4,11,368
-35.9,0.0,96,0.45454545454545453,12,380
-34.5,0.0,96,0.5,13,419
-33.5,0.0,95,0.46153846153846156,14,456
-32.4,0.0,95,0.5,15,468
-31.7,0.0,95,0.5333333333333333,16,485
-31.6,0.0,95,0.5,17,515
-31.0,0.0,95,0.5294117647058824,18,527
-30.2,0.0,95,0.5555555555555556,19,547
-31.3,0.0,94,0.5789473684210527,20,605
-35.4,0.0,93,0.6,21,681
-36.1,0.0,93,0.6190476190476191,22,725
-40.7,0.0,92,0.6363636363636364,23,824
-39.8,0.0,92,0.6521739130434783,24,852
-40.1,0.0,91,0.625,25,894
-40.7,0.0,91,0.64,26,968
-40.0,0.0,91,0.6538461538461539,27,996
-39.8,0.0,90,0.6296296296296297,28,1026
-40.4,0.0,90,0.6071428571428571,29,1105
-42.6,0.0,89,0.6206896551724138,30,1187
-42.5,0.0,89,0.6,31,1217
-41.8,0.0,88,0.5806451612903226,32,1241
-41.1,0.0,88,0.59375,33,1253
-41.1,0.0,88,0.6060606060606061,34,1282
-40.4,0.0,88,0.6176470588235294,35,1296
-40.1,0.0,88,0.6,36,1315
-39.8,0.0,87,0.6111111111111112,37,1343
-39.6,0.0,87,0.5945945945945946,38,1371
-39.1,0.0,87,0.6052631578947368,39,1385
-38.6,0.0,87,0.6153846153846154,40,1399
-38.6,0.0,87,0.625,41,1436
-39.6,0.0,86,0.6341463414634146,42,1514
-39.6,0.0,86,0.6190476190476191,43,1554
-39.3,0.0,85,0.6046511627906976,44,1571
-38.9,0.0,85,0.6136363636363636,45,1586
-38.5,0.0,85,0.6222222222222222,46,1598
-38.2,0.0,85,0.6304347826086957,47,1632
-38.0,0.0,85,0.6382978723404256,48,1663
-37.7,0.0,84,0.6458333333333334,49,1682
-37.4,0.0,84,0.6326530612244898,50,1694
-37.0,0.0,84,0.64,51,1729
-36.7,0.0,84,0.6470588235294118,52,1761
-36.5,0.0,84,0.6346153846153846,53,1774
-36.2,0.0,83,0.6415094339622641,54,1788
-36.0,0.0,83,0.6296296296296297,55,1802
-35.9,0.0,83,0.6363636363636364,56,1827
-36.2,0.0,82,0.6428571428571429,57,1905
-36.2,0.0,82,0.631578947368421,58,1958
-36.1,0.0,81,0.6206896551724138,59,2007
-35.9,0.0,81,0.6101694915254238,60,2036
-35.6,0.0,81,0.6,61,2050
-35.7,0.0,81,0.5901639344262295,62,2111
-35.4,0.0,80,0.5967741935483871,63,2134
-36.0,0.0,80,0.5873015873015873,64,2188
-35.7,0.0,80,0.59375,65,2215
-35.5,0.0,79,0.6,66,2226
-36.6,0.0,79,0.6060606060606061,67,2303
-36.5,0.0,78,0.5970149253731343,68,2344
-36.3,0.0,78,0.6029411764705882,69,2390
-36.1,0.0,78,0.6086956521739131,70,2411
-36.3,0.0,77,0.6142857142857143,71,2452
-36.2,0.0,77,0.6056338028169014,72,2466
-36.0,0.0,77,0.5972222222222222,73,2483
-36.1,0.0,77,0.6027397260273972,74,2542
-36.2,0.0,76,0.6081081081081081,75,2568
-36.4,0.0,76,0.6,76,2609
-36.3,0.0,76,0.5921052631578947,77,2625
-36.6,0.0,75,0.5974025974025974,78,2686
-36.6,0.0,75,0.5897435897435898,79,2708
-36.4,0.0,75,0.5822784810126582,80,2720
-36.2,0.0,75,0.5875,81,2741
-36.3,0.0,74,0.5802469135802469,82,2817
-36.1,0.0,74,0.5853658536585366,83,2829
-36.0,0.0,74,0.5903614457831325,84,2842
-35.9,0.0,74,0.5833333333333334,85,2864
-36.9,0.0,73,0.5764705882352941,86,2964
-37.0,0.0,73,0.5697674418604651,87,2996
-36.9,0.0,72,0.5632183908045977,88,3010
-36.7,0.0,72,0.5681818181818182,89,3025
-37.2,0.0,72,0.5617977528089888,90,3100
-37.0,0.0,71,0.5666666666666667,91,3140
-37.1,0.0,71,0.5604395604395604,92,3194
-36.9,0.0,71,0.5652173913043478,93,3211
-36.7,0.0,70,0.5698924731182796,94,3225
-36.5,0.0,70,0.574468085106383,95,3247
-36.4,0.0,70,0.5789473684210527,96,3263
-36.2,0.0,70,0.5729166666666666,97,3279
-36.1,0.0,70,0.5670103092783505,98,3292
-36.0,0.0,70,0.5612244897959183,99,3307
-36.0,0.0,70,0.5656565656565656,100,3329
-35.8,0.0,69,0.57,101,3366
-36.0,0.0,69,0.57,102,3435
-36.4,0.0,68,0.56,103,3464
-36.3,0.0,68,0.56,104,3493
-36.2,0.0,68,0.56,105,3514
-36.3,0.0,68,0.55,106,3535
-36.2,0.0,68,0.56,107,3545
-36.1,0.0,67,0.56,108,3562
-36.2,0.0,67,0.57,109,3614
-36.0,0.0,67,0.57,110,3633
-35.5,0.0,67,0.56,111,3654
-35.6,0.0,66,0.55,112,3672
-35.7,0.0,66,0.55,113,3711
-35.7,0.0,66,0.55,114,3743
-35.8,0.0,65,0.55,115,3778
-35.8,0.0,65,0.55,116,3790
-36.0,0.0,65,0.55,117,3851
-36.1,0.0,65,0.54,118,3877
-36.2,0.0,64,0.53,119,3897
-36.0,0.0,64,0.52,120,3929
-35.1,0.0,64,0.51,121,3948
-34.8,0.0,64,0.51,122,3964
-33.7,0.0,63,0.51,123,4004
-33.7,0.0,63,0.5,124,4030
-33.5,0.0,63,0.51,125,4040
-33.2,0.0,63,0.5,126,4055
-33.4,0.0,63,0.49,127,4096
-33.3,0.0,62,0.49,128,4115
-33.0,0.0,62,0.49,129,4132
-32.2,0.0,62,0.48,130,4157
-32.2,0.0,62,0.49,131,4199
-32.2,0.0,62,0.49,132,4211
-32.2,0.0,61,0.49,133,4226
-32.1,0.0,61,0.48,134,4245
-32.2,0.0,61,0.47,135,4260
-32.6,0.0,60,0.48,136,4337
-32.6,0.0,60,0.47,137,4376
-32.5,0.0,60,0.48,138,4384
-32.5,0.0,60,0.47,139,4406
-32.5,0.0,60,0.46,140,4437
-32.4,0.0,59,0.46,141,4489
-31.9,0.0,59,0.45,142,4545
-31.7,0.0,58,0.46,143,4576
-31.8,0.0,58,0.46,144,4606
-32.2,0.0,57,0.45,145,4678
-32.2,0.0,57,0.45,146,4687
-32.2,0.0,57,0.44,147,4718
-32.2,0.0,57,0.43,148,4763
-32.1,0.0,56,0.43,149,4781
-32.1,0.0,56,0.44,150,4796
-32.8,0.0,56,0.44,151,4880
-32.9,0.0,55,0.43,152,4895
-32.8,0.0,55,0.44,153,4914
-32.9,0.0,55,0.44,154,4937
-32.9,0.0,55,0.45,155,4954
-32.8,0.0,55,0.44,156,4967
-32.4,0.0,55,0.44,157,4977
-32.3,0.0,54,0.44,158,5017
-32.2,0.0,54,0.45,159,5061
-32.3,0.0,54,0.45,160,5077
-32.3,0.0,53,0.46,161,5123
-32.3,0.0,53,0.46,162,5155
-32.3,0.0,53,0.46,163,5165
-32.1,0.0,52,0.46,164,5265
-32.1,0.0,52,0.45,165,5292
-32.2,0.0,52,0.45,166,5328
-31.5,0.0,51,0.45,167,5350
-31.4,0.0,51,0.46,168,5375
-31.3,0.0,51,0.46,169,5393
-31.3,0.0,51,0.46,170,5406
-31.0,0.0,51,0.46,171,5417
-31.0,0.0,51,0.47,172,5428
-30.9,0.0,50,0.48,173,5446
-30.6,0.0,50,0.48,174,5486
-30.5,0.0,50,0.48,175,5494
-30.1,0.0,50,0.49,176,5507
-30.1,0.0,50,0.49,177,5541
-29.8,0.0,49,0.49,178,5584
-29.6,0.0,49,0.5,179,5596
-29.6,0.0,49,0.5,180,5603
-29.6,0.0,49,0.49,181,5616
-30.1,0.0,48,0.49,182,5716
-30.1,0.0,48,0.49,183,5726
-30.1,0.0,48,0.48,184,5736
-30.0,0.0,48,0.49,185,5767
-29.0,0.0,47,0.5,186,5811
-28.7,0.0,47,0.51,187,5817
-28.6,0.0,47,0.52,188,5825
-28.6,0.0,47,0.52,189,5833
-28.1,0.0,47,0.53,190,5837
