mean 100 episode reward,episodes,steps,% time spent exploring
-47.3,2,55,99
-10.4,3,93,99
4.7,4,129,98
-29.3,5,229,97
-25.2,6,240,97
-25.3,7,277,97
-18.9,8,322,97
-17.7,9,350,96
-19.6,10,400,96
-18.6,11,411,96
-18.3,12,431,96
-16.4,13,463,95
-13.4,14,535,95
-17.6,15,589,94
-17.7,16,621,94
-17.2,17,631,94
-17.4,18,663,94
-14.9,19,711,93
-16.5,20,781,92
-18.8,21,844,92
-18.8,22,872,92
-18.3,23,910,91
-17.9,24,935,91
-17.6,25,948,91
-17.2,26,964,91
-17.0,27,987,91
-16.7,28,1007,90
-12.6,29,1046,90
-9.8,30,1084,90
-5.3,31,1115,89
-6.2,32,1213,89
-5.9,33,1224,88
-5.8,34,1239,88
-5.9,35,1253,88
-6.0,36,1264,88
-5.1,37,1288,88
-0.3,38,1353,87
-0.5,39,1364,87
2.3,40,1412,87
2.8,41,1439,87
2.7,42,1469,86
2.5,43,1493,86
2.4,44,1510,86
2.3,45,1582,85
2.9,46,1617,85
3.7,47,1637,85
3.4,48,1731,84
4.2,49,1751,84
3.9,50,1810,83
3.6,51,1822,83
3.8,52,1851,83
4.9,53,1872,83
4.3,54,1906,82
3.8,55,1945,82
3.7,56,1994,82
3.2,57,2042,81
3.2,58,2061,81
3.4,59,2121,80
3.3,60,2136,80
3.1,61,2150,80
2.9,62,2163,80
3.3,63,2192,80
3.7,64,2224,79
5.0,65,2259,79
5.1,66,2292,79
8.4,67,2353,78
8.4,68,2379,78
8.2,69,2386,78
8.3,70,2400,78
9.2,71,2421,78
9.3,72,2437,78
9.6,73,2464,77
9.8,74,2495,77
10.8,75,2519,77
10.1,76,2576,76
10.1,77,2595,76
10.2,78,2617,76
10.0,79,2642,76
10.4,80,2670,75
12.9,81,2706,75
12.6,82,2722,75
12.4,83,2751,75
12.3,84,2773,75
12.1,85,2797,74
11.8,86,2815,74
11.6,87,2829,74
11.7,88,2868,74
11.8,89,2898,73
11.8,90,2918,73
11.7,91,2945,73
11.5,92,2956,73
13.0,93,2989,73
13.4,94,3024,72
14.5,95,3052,72
14.5,96,3068,72
14.6,97,3090,72
14.7,98,3113,71
14.6,99,3128,71
14.3,100,3150,71
14.0,101,3170,71
14.6,102,3184,71
15.9,103,3219,71
16.3,104,3269,70
17.7,105,3309,70
18.3,106,3338,69
18.5,107,3364,69
19.5,108,3401,69
19.9,109,3443,69
20.2,110,3466,68
20.2,111,3485,68
21.0,112,3508,68
21.1,113,3525,68
20.9,114,3544,68
21.5,115,3567,67
22.0,116,3589,67
22.2,117,3601,67
23.0,118,3628,67
22.9,119,3659,67
23.4,120,3679,66
24.5,121,3711,66
24.6,122,3723,66
24.7,123,3734,66
25.3,124,3752,66
25.6,125,3771,66
25.7,126,3782,65
26.0,127,3807,65
26.1,128,3820,65
25.1,129,3843,65
25.0,130,3868,65
24.8,131,3898,64
25.1,132,3915,64
25.4,133,3936,64
25.5,134,3949,64
25.7,135,3971,64
26.3,136,4009,63
26.0,137,4027,63
24.3,138,4043,63
24.7,139,4059,63
23.5,140,4069,63
23.4,141,4091,63
24.5,142,4124,62
25.0,143,4141,62
25.3,144,4154,62
25.9,145,4184,62
26.6,146,4206,62
26.2,147,4222,62
26.2,148,4237,61
26.2,149,4264,61
26.1,150,4285,61
