"(-9.31297556860687, -2.2520302384398136, 0.042392339653720156)","linear: 
  x: 0.0316387472
  y: 0.00370431249339
  z: 0.00677141398647
angular: 
  x: -0.00034975025146
  y: 0.00444071055976
  z: 0.00187559722453","[40, 40]","[40, 40]","[40, 40]","[-1, -1]",0
"(-9.04681252436565, -2.227383017353827, 0.043270748108589385)","linear: 
  x: 1.08383134102
  y: 0.0948420005416
  z: -0.00591318911852
angular: 
  x: -0.000126744787025
  y: 0.00150718372468
  z: 0.00168621714689","[40, 40]","[40, 40]","[40, 40]","[2.217383017353827, 2.282616982646173]",0
"(-8.650198415703988, -2.1925303112728316, 0.043502133824366185)","linear: 
  x: 1.36235577674
  y: 0.119497272687
  z: 0.0072069854036
angular: 
  x: -0.000380274689119
  y: 0.00465763331615
  z: 0.00183604069172","[40, 40]","[40, 40]","[40, 40]","[2.182650988329728, 2.317349011670272]",0
"(-8.23909963837178, -2.156263361201313, 0.043689972453699724)","linear: 
  x: 1.52555363403
  y: 0.130662202013
  z: -0.0146084516391
angular: 
  x: -0.00269807640453
  y: -0.00433983652168
  z: 0.000575737247335","[40, 40]","[10.912055432568181, 40]","[40, 40]","[2.146263361201313, 2.353736638798687]",0
"(-7.58826617588596, -2.0987632059527823, 0.04392942683138091)","linear: 
  x: 1.68860126297
  y: 0.148511640913
  z: 0.00136178722093
angular: 
  x: 0.00148108727125
  y: 0.00187742444908
  z: 0.00271772692407","[40, 40]","[10.706798863732644, 40]","[40, 40]","[2.0889128286649807, 2.4110871713350193]",0
"(-7.051882037462341, -2.051078663903421, 0.04414369004509878)","linear: 
  x: 1.77690364769
  y: 0.158058707677
  z: -0.00483450005992
angular: 
  x: -0.000201970802221
  y: 0.00221369741952
  z: 0.00188986796886","[40, 40]","[8.728706882730862, 40]","[40, 40]","[2.0836639721903842, 2.4163360278096158]",0
"(-6.645855752219177, -2.014824381468463, 0.04432003634189428)","linear: 
  x: 1.82687008218
  y: 0.162973886187
  z: 0.00711980394238
angular: 
  x: -0.000386677386623
  y: 0.00466689800592
  z: 0.0019338035676","[40, 40]","[8.712831408019747, 40]","[40, 40]","[2.0836639721903842, 2.4163360278096158]",0
"(-5.854243773543665, -1.94367022469275, 0.04462525888558587)","linear: 
  x: 1.89644869444
  y: 0.171765711325
  z: 0.00942638788495
angular: 
  x: -0.000375241060982
  y: 0.00601344215325
  z: 0.00118030433786","[40, 40]","[8.7066341382441, 40]","[40, 40]","[2.0836639721903842, 2.4163360278096158]",0
"(-5.219091750389703, -1.8863647596230204, 0.04488360767495296)","linear: 
  x: 1.41490308185
  y: 0.127879047655
  z: -0.003605779125
angular: 
  x: -0.000327003594172
  y: 0.00361573436658
  z: 0.00219789825804","[40, 40]","[8.673380907408847, 40]","[40, 40]","[2.0836639721903842, 2.4163360278096158]",0
"(-4.966136632839492, -1.8633007817549194, 0.04510221408214784)","linear: 
  x: 0.832556321164
  y: 0.0758675391686
  z: 0.00669750955616
angular: 
  x: -0.000393759946481
  y: 0.00473877703374
  z: 0.00231044622394","[40, 40]","[8.680190876460285, 40]","[40, 40]","[2.0836639721903842, 2.4163360278096158]",0
"(-4.794093862297722, -1.8474281171170321, 0.04535231627938924)","linear: 
  x: 0.474013347245
  y: 0.0436145818731
  z: -0.00448958224309
angular: 
  x: -0.000241269780158
  y: 0.00260733596151
  z: 0.00216583953831","[40, 40]","[8.667328638692414, 40]","[40, 40]","[2.0836639721903842, 2.4163360278096158]",0
"(-4.692456822219302, -1.837881559108832, 0.045517681197752034)","linear: 
  x: 0.249978088246
  y: 0.0238030433285
  z: 0.00699076877761
angular: 
  x: -0.000375365649103
  y: 0.00491073086571
  z: 0.000497369057957","[40, 40]","[8.656656881710799, 40]","[40, 40]","[2.0836639721903842, 2.4163360278096158]",0
"(-4.583948520315796, -1.8258106567357557, 0.04582569625401257)","linear: 
  x: 0.0331705970872
  y: 0.00386897165667
  z: -0.00446520018292
angular: 
  x: -0.000180997532302
  y: 0.00265685557001
  z: -0.000122211895598","[40, 40]","[8.58267922683904, 40]","[40, 40]","[2.0836639721903842, 2.4163360278096158]",0
