mean 100 episode reward,Success rate,% time spent exploring,Collision rate,episodes,steps,Derailment rate
-68.0,0.0,99,0.0,2,25,1.0
-55.4,0.0,99,0.0,3,38,1.0
-57.2,0.0,99,0.0,4,61,1.0
-55.6,0.0,99,0.0,5,78,1.0
-59.3,0.0,99,0.0,6,107,1.0
-59.4,0.0,98,0.0,7,128,1.0
-57.7,0.0,98,0.0,8,143,1.0
-59.4,0.0,98,0.0,9,166,1.0
-58.2,0.0,98,0.0,10,182,1.0
-57.8,0.0,98,0.0,11,202,1.0
-59.0,0.0,97,0.0,12,232,1.0
-58.5,0.0,97,0.0,13,250,1.0
-57.1,0.0,97,0.0,14,263,1.0
-56.4,0.0,97,0.0,15,280,1.0
-57.5,0.0,97,0.06666666666666667,16,309,0.9333333333333333
-58.1,0.0,96,0.0625,17,334,0.9375
-58.9,0.0,96,0.11764705882352941,18,365,0.8823529411764706
-58.8,0.0,96,0.1111111111111111,19,386,0.8888888888888888
-58.7,0.0,96,0.10526315789473684,20,409,0.8947368421052632
-58.1,0.0,96,0.1,21,424,0.9
-58.3,0.0,95,0.14285714285714285,22,447,0.8571428571428571
-58.3,0.0,95,0.13636363636363635,23,468,0.8636363636363636
-58.2,0.0,95,0.13043478260869565,24,487,0.8695652173913043
-58.1,0.0,95,0.125,25,505,0.875
-58.4,0.0,95,0.12,26,534,0.88
-58.7,0.0,94,0.11538461538461539,27,558,0.8846153846153846
-58.3,0.0,94,0.1111111111111111,28,574,0.8888888888888888
-57.7,0.0,94,0.10714285714285714,29,588,0.8928571428571429
-58.4,0.0,94,0.10344827586206896,30,623,0.896551724137931
-58.1,0.0,94,0.1,31,640,0.9
-58.5,0.0,94,0.0967741935483871,32,666,0.9032258064516129
-58.7,0.03125,93,0.09375,33,702,0.875
-58.0,0.030303030303030304,93,0.09090909090909091,34,713,0.8787878787878788
-58.2,0.029411764705882353,93,0.08823529411764706,35,738,0.8823529411764706
-58.1,0.02857142857142857,93,0.08571428571428572,36,758,0.8857142857142857
-57.8,0.027777777777777776,93,0.08333333333333333,37,774,0.8888888888888888
-57.8,0.02702702702702703,92,0.08108108108108109,38,794,0.8918918918918919
-58.2,0.02631578947368421,92,0.10526315789473684,39,823,0.868421052631579
-58.3,0.02564102564102564,92,0.10256410256410256,40,848,0.8717948717948718
-58.1,0.025,92,0.1,41,864,0.875
-58.0,0.024390243902439025,92,0.12195121951219512,42,885,0.8536585365853658
-58.0,0.023809523809523808,91,0.11904761904761904,43,906,0.8571428571428571
-58.4,0.023255813953488372,91,0.13953488372093023,44,939,0.8372093023255814
-58.1,0.022727272727272728,91,0.13636363636363635,45,955,0.8409090909090909
-58.4,0.022222222222222223,91,0.15555555555555556,46,985,0.8222222222222222
-59.0,0.021739130434782608,90,0.15217391304347827,47,1020,0.8260869565217391
-58.8,0.02127659574468085,90,0.14893617021276595,48,1038,0.8297872340425532
-59.0,0.020833333333333332,90,0.16666666666666666,49,1064,0.8125
-58.9,0.02040816326530612,90,0.16326530612244897,50,1083,0.8163265306122449
-58.8,0.02,90,0.18,51,1102,0.8
-59.2,0.0196078431372549,89,0.17647058823529413,52,1134,0.803921568627451
-59.4,0.019230769230769232,89,0.19230769230769232,53,1164,0.7884615384615384
-59.4,0.018867924528301886,89,0.18867924528301888,54,1188,0.7924528301886793
-59.5,0.018518518518518517,89,0.18518518518518517,55,1211,0.7962962962962963
-59.0,0.01818181818181818,89,0.18181818181818182,56,1221,0.8
-58.9,0.017857142857142856,88,0.17857142857142858,57,1239,0.8035714285714286
